    PID TTY      STAT   TIME COMMAND
3802603 ?        I      0:02 [kworker/u162:0-events_unbound]
3802661 ?        I      0:00 [kworker/43:1-mm_percpu_wq]
3802674 ?        I      0:00 [kworker/20:3-mm_percpu_wq]
3802675 ?        I      0:00 [kworker/22:0-mm_percpu_wq]
3802676 ?        I      0:00 [kworker/23:1-events]
3802681 ?        I      0:00 [kworker/29:0-mm_percpu_wq]
3802682 ?        I      0:00 [kworker/25:0-rcu_par_gp]
3802699 ?        I      0:00 [kworker/12:0-rcu_par_gp]
3802700 ?        I      0:00 [kworker/27:1-mm_percpu_wq]
3802701 ?        I      0:00 [kworker/28:2]
3802702 ?        I      0:00 [kworker/66:1-mm_percpu_wq]
3802783 ?        I      0:00 [kworker/61:0-rcu_par_gp]
3802784 ?        I      0:00 [kworker/62:1]
3802785 ?        I      0:00 [kworker/33:1-rcu_par_gp]
3802803 ?        I      0:00 [kworker/u160:1-mlx5_cmd_0000:0c:00.0]
3802889 ?        I      0:00 [kworker/60:2-mm_percpu_wq]
3802891 ?        I      0:00 [kworker/11:2-rcu_par_gp]
3803936 ?        I      0:00 [kworker/42:1-rcu_par_gp]
3804057 pts/6    S      0:00 sudo -s
3804060 pts/6    S+     0:00 /bin/bash
3804191 ?        I      0:00 [kworker/63:2-rcu_par_gp]
3804192 ?        I      0:00 [kworker/64:0-events]
3804195 ?        I      0:00 [kworker/65:1-rcu_gp]
3804202 ?        I      0:00 [kworker/31:0]
3804221 ?        I      0:00 [kworker/46:2-rcu_par_gp]
3804222 ?        I      0:00 [kworker/69:1-mm_percpu_wq]
3804448 ?        I      0:00 [kworker/5:0-events]
3804526 ?        I      0:00 [kworker/47:6-mm_percpu_wq]
3804529 ?        I      0:00 [kworker/67:5-rcu_par_gp]
3804530 ?        I      0:00 [kworker/67:6-rcu_gp]
3804539 ?        I      0:00 [kworker/14:7-rcu_par_gp]
3804541 ?        I      0:00 [kworker/14:8-events]
3804545 ?        I      0:00 [kworker/52:7-rcu_par_gp]
3804546 ?        I      0:00 [kworker/52:8-mm_percpu_wq]
3805574 ?        I      0:00 [kworker/7:0-events]
3806009 ?        I      0:00 [kworker/40:0-mm_percpu_wq]
3806327 ?        I      0:00 [kworker/10:0-rcu_par_gp]
3806344 ?        I      0:00 [kworker/0:0-events]
3806345 ?        I      0:00 [kworker/1:1-cgroup_destroy]
3806347 ?        I      0:00 [kworker/2:0-events]
3806375 ?        I      0:00 [kworker/45:0-mm_percpu_wq]
3806380 ?        I      0:00 [kworker/79:2]
3806385 ?        I      0:00 [kworker/23:0-events]
3806387 ?        I      0:00 [kworker/25:1-rcu_par_gp]
3806388 ?        I      0:00 [kworker/27:0]
3806493 ?        I      0:00 [kworker/61:2-mm_percpu_wq]
3806525 ?        I      0:00 [kworker/11:0-mm_percpu_wq]
3806538 ?        I      0:00 [kworker/66:2-rcu_par_gp]
3806539 ?        I      0:00 [kworker/66:3]
3806549 ?        I      0:00 [kworker/36:0-rcu_par_gp]
3806551 ?        I      0:00 [kworker/u160:0-mlx5_cmd_0000:05:00.0]
3806554 ?        I      0:00 [kworker/68:1-rcu_par_gp]
3806563 ?        I      0:00 [kworker/75:0]
3806564 ?        I      0:00 [kworker/76:2-mm_percpu_wq]
3806596 ?        I      0:00 [kworker/48:0-mm_percpu_wq]
3806597 ?        I      0:00 [kworker/8:1-mm_percpu_wq]
3806598 ?        I      0:00 [kworker/9:1-events]
3806599 ?        I      0:00 [kworker/78:0]
3806600 ?        I      0:00 [kworker/20:1-rcu_par_gp]
3806601 ?        I      0:00 [kworker/22:2-rcu_par_gp]
3806611 ?        I      0:00 [kworker/u160:3-poll_megasas0_status]
3806647 ?        I      0:00 [kworker/16:0-rcu_gp]
3806691 ?        I      0:00 [kworker/9:2-events]
3806692 ?        I      0:00 [kworker/9:4-events]
3806694 ?        I      0:00 [kworker/54:0-events]
3806695 ?        I      0:00 [kworker/55:0-events]
3806696 ?        I      0:00 [kworker/56:2-mm_percpu_wq]
3806697 ?        I      0:00 [kworker/57:0-mm_percpu_wq]
3806723 ?        I      0:00 [kworker/15:0-mm_percpu_wq]
3806724 ?        I      0:00 [kworker/10:1-mm_percpu_wq]
3806725 ?        I      0:00 [kworker/17:2-rcu_par_gp]
3806735 ?        I      0:00 [kworker/12:1-events]
3806736 ?        I      0:00 [kworker/13:1-events]
3806740 ?        I      0:00 [kworker/18:0-rcu_par_gp]
3806765 ?        I      0:00 [kworker/71:2-mm_percpu_wq]
3806766 ?        I      0:00 [kworker/72:2-events]
3806767 ?        I      0:00 [kworker/73:2-mm_percpu_wq]
3806768 ?        I      0:00 [kworker/24:0-mm_percpu_wq]
3808735 ?        I      0:00 [kworker/12:3-mm_percpu_wq]
3808752 ?        I      0:00 [kworker/16:2-rcu_par_gp]
3808758 ?        I      0:00 [kworker/19:2-mm_percpu_wq]
3808759 ?        I      0:00 [kworker/72:3]
3809154 ?        I      0:00 [kworker/51:2-events]
3809156 ?        I      0:00 [kworker/41:0]
3810138 ?        I      0:00 [kworker/42:2]
3810139 ?        S      0:00 sleep 180
3810301 ?        I      0:00 [kworker/30:0-mm_percpu_wq]
3810302 ?        I      0:00 [kworker/32:0-mm_percpu_wq]
3810303 ?        I      0:00 [kworker/32:1]
3810304 ?        I      0:00 [kworker/33:0-mm_percpu_wq]
3810316 ?        I      0:00 [kworker/34:1-mm_percpu_wq]
3810321 ?        I      0:00 [kworker/35:1-mm_percpu_wq]
3810323 ?        I      0:00 [kworker/64:1]
3810340 ?        I      0:00 [kworker/65:2-events]
3810346 ?        I      0:00 [kworker/4:2-cgroup_destroy]
3810347 ?        I      0:00 [kworker/67:0-mm_percpu_wq]
3810349 ?        I      0:00 [kworker/23:3-events]
3810350 ?        I      0:00 [kworker/23:4-events]
3810506 pts/5    Tl     0:11 python3 timeline.py data/test_results/ta_1gpu_test_20220821030745/ test2
3810670 ?        I      0:00 [kworker/5:2-events]
3810671 ?        I      0:00 [kworker/5:3-events]
3810672 ?        I      0:00 [kworker/5:4-events]
3810673 ?        I      0:00 [kworker/5:5-events]
3810674 ?        I      0:00 [kworker/5:6-mm_percpu_wq]
3810675 ?        I      0:00 [kworker/5:7-events]
3810676 ?        I      0:00 [kworker/5:8]
3810677 ?        I      0:00 [kworker/53:0-events]
3810678 ?        I      0:00 [kworker/53:1-events]
3810679 ?        I      0:00 [kworker/53:3-events]
3810680 ?        I      0:00 [kworker/53:4-events]
3810681 ?        I      0:00 [kworker/53:5-mm_percpu_wq]
3810682 ?        I      0:00 [kworker/53:6]
3810683 ?        I      0:00 [kworker/7:2-events]
3810684 ?        I      0:00 [kworker/3:2-events]
3810685 ?        I      0:00 [kworker/7:3-rcu_par_gp]
3810686 ?        I      0:00 [kworker/7:4-mm_percpu_wq]
3810687 ?        I      0:00 [kworker/7:5-events]
3810688 ?        I      0:00 [kworker/3:3-events]
3810689 ?        I      0:00 [kworker/7:7]
3810690 ?        I      0:00 [kworker/3:4-events]
3810691 ?        I      0:00 [kworker/3:5-events]
3810692 ?        I      0:00 [kworker/3:6-mm_percpu_wq]
3810693 ?        I      0:00 [kworker/3:7-events]
3810694 ?        I      0:00 [kworker/3:8]
3810695 ?        I      0:00 [kworker/55:1-mm_percpu_wq]
3810696 ?        I      0:00 [kworker/55:2]
3810697 ?        I      0:00 [kworker/51:3-events]
3810698 ?        I      0:00 [kworker/2:3-events]
3810699 ?        I      0:00 [kworker/51:4-events]
3810700 ?        I      0:00 [kworker/51:5-events]
3810701 ?        I      0:00 [kworker/51:6-events]
3810702 ?        I      0:00 [kworker/51:7-events]
3810703 ?        I      0:00 [kworker/51:8-mm_percpu_wq]
3810704 ?        I      0:00 [kworker/51:9-events]
3810705 ?        I      0:00 [kworker/51:10]
3810706 ?        I      0:00 [kworker/2:4-events]
3810707 ?        I      0:00 [kworker/2:5-events]
3810708 ?        I      0:00 [kworker/2:6-events]
3810709 ?        I      0:00 [kworker/2:7-events]
3810710 ?        I      0:00 [kworker/2:8-mm_percpu_wq]
3810711 ?        I      0:00 [kworker/2:9-events]
3810712 ?        I      0:00 [kworker/2:10-events]
3810821 ?        I      0:00 [kworker/u161:3-nfsiod]
3811050 pts/19   S+     0:00 sudo ./trace_bert.sh ../mlcomns_bert/ output/ 1
3811051 pts/19   S+     0:00 /bin/bash ./trace_bert.sh ../mlcomns_bert/ output/ 1
3811077 ?        Ss     0:00 tmux new-session -d -s training
3811078 pts/22   Ss     0:00 -bash
3811080 pts/19   S+     0:00 bpftrace traces/trace_bio.bt -o /dl-bench/zdouce/tracing_tools/output/experiment_20220825114914/trace_bio.out
3811081 pts/19   S+     0:00 bpftrace traces/trace_read.bt -o /dl-bench/zdouce/tracing_tools/output/experiment_20220825114914/trace_read.out
3811082 pts/19   S+     0:00 bpftrace traces/trace_write.bt -o /dl-bench/zdouce/tracing_tools/output/experiment_20220825114914/trace_write.out
3811083 pts/19   S+     0:00 bpftrace traces/trace_create_del.bt -o /dl-bench/zdouce/tracing_tools/output/experiment_20220825114914/trace_create_del.out
3811084 pts/19   S+     0:00 bpftrace traces/trace_openat.bt -o /dl-bench/zdouce/tracing_tools/output/experiment_20220825114914/trace_openat.out
3811085 pts/19   S+     0:00 bpftrace traces/trace_close.bt -o /dl-bench/zdouce/tracing_tools/output/experiment_20220825114914/trace_close.out
3811086 pts/19   S+     0:00 bpftrace traces/trace_mmap.bt -o /dl-bench/zdouce/tracing_tools/output/experiment_20220825114914/trace_mmap.out
3811087 pts/19   R+     1:02 bpftrace traces/trace_time_align.bt -o /dl-bench/zdouce/tracing_tools/output/experiment_20220825114914/trace_time_align.out
3811088 pts/19   S+     0:00 mpstat 1
3811089 pts/19   Sl+    0:04 nvidia-smi pmon -s um -o DT -f /dl-bench/zdouce/tracing_tools/output/experiment_20220825114914/gpu.out
3811092 pts/19   S+     0:00 sleep 100
3811116 pts/22   S+     0:00 sudo /dl-bench/zdouce/mlcomns_bert/start_training.sh -g 1
3811119 pts/22   Sl+    0:00 docker run -it --rm --gpus all -v /raid/data/bert/wiki:/wiki -v /raid/data/bert/raw-data:/raw-data -v /raid/data/bert/preproc_data:/data -v /dl-bench/zdouce/mlcomns_bert/output:/output tf-bert:latest /bin/bash train_model.sh 1 10000
3811138 ?        I      0:00 [kworker/70:0]
3811139 ?        I      0:00 [kworker/26:0]
3811168 ?        Sl     0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 13e05eac1328eaa41517b472869d7017fdf81be9248a2c1627f8f3a0b5052b1e -address /run/containerd/containerd.sock
3811196 pts/0    Ss+    0:00 /bin/bash train_model.sh 1 10000
3811219 ?        I      0:00 [kworker/52:0]
3811265 pts/0    Rl+    1:11 python run_pretraining.py --bert_config_file=/wiki/bert_config.json --output_dir=/output --log_dir=/output --input_file=/data/part* --nodo_eval --do_train --eval_batch_size=8 --learning_rate=0.0001 --init_checkpoint=/wiki/ckpt/model.ckpt-28252 --iterations_per_loop=1000 --max_predictions_per_seq=76 --max_seq_length=512 --num_train_steps=107538 --num_warmup_steps=10000 --optimizer=lamb --save_checkpoints_steps=6250 --start_warmup_step=0 --num_gpus=1 --train_batch_size=6
3812262 ?        S      0:00 /bin/sh -c "/home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/out/vs/base/node/cpuUsage.sh" 3401257 3792519 3810506
3812263 ?        S      0:00 /bin/bash /home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/out/vs/base/node/cpuUsage.sh 3401257 3792519 3810506
3812268 ?        S      0:00 sleep 1
3812270 pts/17   R+     0:00 ps ax
